timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695071194517,41864,HTTP Request,200,OK,ThreadLoadTestDaraz 1-21,text,true,,1143682,118,70,70,https://www.daraz.com.bd/,409,0,301
1695071195543,41287,HTTP Request,200,OK,ThreadLoadTestDaraz 1-39,text,true,,1143678,118,70,70,https://www.daraz.com.bd/,411,0,306
1695071194630,43251,HTTP Request,200,OK,ThreadLoadTestDaraz 1-23,text,true,,1143655,118,70,70,https://www.daraz.com.bd/,859,0,754
1695071196056,42532,HTTP Request,200,OK,ThreadLoadTestDaraz 1-48,text,true,,1143640,118,70,70,https://www.daraz.com.bd/,2118,0,1702
1695071194348,44791,HTTP Request,200,OK,ThreadLoadTestDaraz 1-18,text,true,,1143660,118,70,70,https://www.daraz.com.bd/,420,0,320
1695071193775,45979,HTTP Request,200,OK,ThreadLoadTestDaraz 1-8,text,true,,1143668,118,70,70,https://www.daraz.com.bd/,377,0,302
1695071194573,46917,HTTP Request,200,OK,ThreadLoadTestDaraz 1-22,text,true,,1143662,118,70,70,https://www.daraz.com.bd/,1529,0,1118
1695071196225,45461,HTTP Request,200,OK,ThreadLoadTestDaraz 1-51,text,true,,1143651,118,70,70,https://www.daraz.com.bd/,3574,0,3470
1695071195486,46269,HTTP Request,200,OK,ThreadLoadTestDaraz 1-38,text,true,,1143659,118,70,70,https://www.daraz.com.bd/,1372,0,1264
1695071194405,47941,HTTP Request,200,OK,ThreadLoadTestDaraz 1-19,text,true,,1143655,118,70,70,https://www.daraz.com.bd/,406,0,300
1695071196169,46611,HTTP Request,200,OK,ThreadLoadTestDaraz 1-50,text,true,,1143655,118,70,70,https://www.daraz.com.bd/,1909,0,1804
1695071196568,46275,HTTP Request,200,OK,ThreadLoadTestDaraz 1-57,text,true,,1143666,118,70,70,https://www.daraz.com.bd/,820,0,714
1695071194012,48958,HTTP Request,200,OK,ThreadLoadTestDaraz 1-12,text,true,,1143635,118,70,70,https://www.daraz.com.bd/,272,0,202
1695071193663,50216,HTTP Request,200,OK,ThreadLoadTestDaraz 1-6,text,true,,1143646,118,70,70,https://www.daraz.com.bd/,489,0,413
1695071194176,50112,HTTP Request,200,OK,ThreadLoadTestDaraz 1-15,text,true,,1143655,118,70,70,https://www.daraz.com.bd/,367,0,262
1695071196625,47678,HTTP Request,200,OK,ThreadLoadTestDaraz 1-58,text,true,,1143788,118,70,70,https://www.daraz.com.bd/,3798,0,3690
